source,missing_set,experiment_mode,experiment,seed,model_type,model_path,n,latency_s,training_s,r2,mae,rmse,nmae,accuracy,macro_f1,residual_mean,residual_std
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,4,svm,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/reduced_retraining/missing_bod/svm.joblib,10000,10.11931292898953,43.361151952296495,0.8688970158471039,4.903875997462316,7.315010181305659,0.0556815714484196,0.7566,0.6989743788756809,-1.7194424354930833,7.110411201778482
external_10714,missing_bod,reduced_retraining,reduced_retraining_missing_bod,4,svm,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/reduced_retraining/missing_bod/svm.joblib,10714,10.85018214210868,43.361151952296495,-0.4194682146627444,16.519394219848614,17.97604485208288,0.2728223653154189,0.2274593989173044,0.2913157913611398,-16.3606590275054,7.447966316613747
internal_test,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,4,svm,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/indicator_reconstruction/missing_bod/svm.joblib,10000,19.707290399819613,128.77010852470994,0.8739016878045965,4.7769687220468695,7.174031564602802,0.0542405895542962,0.7611,0.6725642656899139,-1.5940962210324932,6.99503246425096
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,4,svm,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/indicator_reconstruction/missing_bod/svm.joblib,10714,21.24507290124893,128.77010852470994,-0.3768674668978651,16.24360109264457,17.704243583273062,0.2682675655267477,0.2421131230166137,0.3012539961139469,-16.104875994715183,7.353792048279759
internal_test,missing_nh3n,inference_dropout,inference_dropout_missing_nh3n,4,svm,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/full_reference/svm.joblib,10000,9.842543695122004,46.65393810905516,0.6881860316630515,9.659724425216528,11.2812293738063,0.1096823484184913,0.4373,0.3706219317081527,7.923261475574375,8.03084760317562
external_10714,missing_nh3n,inference_dropout,inference_dropout_missing_nh3n,4,svm,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/full_reference/svm.joblib,10714,10.530483970418572,46.65393810905516,0.6666724457056225,7.463513013516097,8.710977959516914,0.1232619820564178,0.6061228299421317,0.4576515552902594,4.900329813367326,7.2022736907760345
internal_test,missing_nh3n,reduced_retraining,reduced_retraining_missing_nh3n,4,svm,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/reduced_retraining/missing_nh3n/svm.joblib,10000,9.948506811633706,46.36378267966211,0.9596154777120928,2.8497548650218514,4.059907336311088,0.0323578388216401,0.8499,0.7778933315788411,-0.2974724918037223,4.049197117427386
external_10714,missing_nh3n,reduced_retraining,reduced_retraining_missing_nh3n,4,svm,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/reduced_retraining/missing_nh3n/svm.joblib,10714,10.666538270190358,46.36378267966211,0.9052616204773531,3.373667500329202,4.6440221553001,0.0557170520285582,0.812021653910771,0.6985263624468552,-0.893657931265922,4.557439619974829
internal_test,missing_nh3n,indicator_reconstruction,indicator_reconstruction_missing_nh3n,4,svm,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/indicator_reconstruction/missing_nh3n/svm.joblib,10000,16.299599340185523,105.1235133819282,0.9670323778911044,2.588981411440244,3.668195367495472,0.0293968594463522,0.8599,0.7977395543520526,-0.2104052957491679,3.662339162127095
external_10714,missing_nh3n,indicator_reconstruction,indicator_reconstruction_missing_nh3n,4,svm,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/indicator_reconstruction/missing_nh3n/svm.joblib,10714,17.47263725847006,105.1235133819282,0.9055907134339496,3.3682439077966384,4.635949162456829,0.0556274798975497,0.8138883703565428,0.7035118285994216,-0.958968016365668,4.5358929994039725
internal_test,missing_bod_nh3n,inference_dropout,inference_dropout_missing_bod_nh3n,4,svm,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/full_reference/svm.joblib,10000,9.865235179662704,46.65393810905516,-0.6565407864514328,22.21910350661144,26.002177164134498,0.2522891280414606,0.2616,0.1931824109274806,21.33473050122381,14.8648776710071
external_10714,missing_bod_nh3n,inference_dropout,inference_dropout_missing_bod_nh3n,4,svm,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/full_reference/svm.joblib,10714,10.542412243783474,46.65393810905516,0.5794747655022142,8.510522673704564,9.784245423856216,0.1405536362296377,0.558894903864103,0.3491952509618963,5.436248598446294,8.135406388517808
internal_test,missing_bod_nh3n,reduced_retraining,reduced_retraining_missing_bod_nh3n,4,svm,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/reduced_retraining/missing_bod_nh3n/svm.joblib,10000,10.258207444101572,42.76634852588177,0.7668987807920948,7.274131239723448,9.753958845779884,0.0825948817954291,0.6434,0.585919381607369,-1.6261828870189212,9.617925599234884
external_10714,missing_bod_nh3n,reduced_retraining,reduced_retraining_missing_bod_nh3n,4,svm,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/reduced_retraining/missing_bod_nh3n/svm.joblib,10714,10.9718532320112,42.76634852588177,-0.4939175061274794,16.870442139514058,18.441430883063685,0.2786200188193899,0.2268060481612843,0.2527246332855644,-16.60549174280553,8.021846617628512
