source,missing_set,experiment_mode,experiment,model_type,metric,point_estimate,bootstrap_mean,ci95_low,ci95_high,n_bootstrap,n_runs,n_per_run
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,rf,r2,0.8858058079702754,0.8857844494055896,0.8845406752784658,0.8872117466455626,200,5,10000
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,rf,mae,4.988611022055555,4.989331902123436,4.948644012317103,5.0157375683000005,200,5,10000
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,rf,rmse,6.80741633774335,6.807594132157517,6.75233528905266,6.845854898679173,200,5,10000
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,rf,nmae,0.0572295149910851,0.0572411384900728,0.0565963808537406,0.057801377912625,200,5,10000
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,rf,accuracy,0.7584000000000001,0.7583909000000001,0.75578,0.7611640000000001,200,5,10000
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,rf,macro_f1,0.7140452919231833,0.7144116153701787,0.6853885421088418,0.7413810805368561,200,5,10000
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,svm,r2,0.8686513594970633,0.8686933990021675,0.867729562597128,0.8694538023584489,200,5,10000
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,svm,mae,4.881410873179916,4.879602258503403,4.859156536800648,4.894995974096291,200,5,10000
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,svm,rmse,7.300956622515756,7.299277719492125,7.270409131075948,7.3367604016006895,200,5,10000
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,svm,nmae,0.0560040916433937,0.0560278120269915,0.0550834115502591,0.0567619437496867,200,5,10000
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,svm,accuracy,0.7604,0.7603044,0.757476,0.7634160000000001,200,5,10000
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,svm,macro_f1,0.6899249290106887,0.6897888624470326,0.6653961034539501,0.7105109668627112,200,5,10000
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,xgboost,r2,0.8937940173970308,0.8937765575740094,0.8924134859064565,0.8952010353521006,200,5,10000
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,xgboost,mae,4.766017616781616,4.76555675653514,4.732252990265732,4.794701979032974,200,5,10000
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,xgboost,rmse,6.564964551723309,6.569351751945246,6.524083007186332,6.615861303808164,200,5,10000
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,xgboost,nmae,0.0546763640184758,0.0546658090364353,0.0540448443919455,0.0553102048519076,200,5,10000
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,xgboost,accuracy,0.77576,0.7757598,0.7744,0.776881,200,5,10000
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,xgboost,macro_f1,0.7359569364151906,0.7365665860096265,0.7231523333204554,0.7566607723908563,200,5,10000
internal_test,missing_bod_nh3n,indicator_reconstruction,indicator_reconstruction_missing_bod_nh3n,lightgbm,r2,0.7934295602601901,0.7934189309872949,0.791499378900231,0.7949878806145289,200,5,10000
internal_test,missing_bod_nh3n,indicator_reconstruction,indicator_reconstruction_missing_bod_nh3n,lightgbm,mae,7.108964007910129,7.109486795888022,7.086251802270536,7.131714357908845,200,5,10000
internal_test,missing_bod_nh3n,indicator_reconstruction,indicator_reconstruction_missing_bod_nh3n,lightgbm,rmse,9.155784955420964,9.154887412083887,9.125878601779233,9.187946607721894,200,5,10000
internal_test,missing_bod_nh3n,indicator_reconstruction,indicator_reconstruction_missing_bod_nh3n,lightgbm,nmae,0.0815602850421865,0.0816045834023233,0.0802403008547958,0.0830831519548689,200,5,10000
internal_test,missing_bod_nh3n,indicator_reconstruction,indicator_reconstruction_missing_bod_nh3n,lightgbm,accuracy,0.6398999999999999,0.639636,0.636893,0.6426850000000001,200,5,10000
internal_test,missing_bod_nh3n,indicator_reconstruction,indicator_reconstruction_missing_bod_nh3n,lightgbm,macro_f1,0.5939332050735543,0.5936545536427333,0.5828735817171602,0.604832165168523,200,5,10000
internal_test,missing_bod_nh3n,indicator_reconstruction,indicator_reconstruction_missing_bod_nh3n,lr,r2,0.5980200322916627,0.5980054562607674,0.5954792626764617,0.6011862024895955,200,5,10000
internal_test,missing_bod_nh3n,indicator_reconstruction,indicator_reconstruction_missing_bod_nh3n,lr,mae,10.362838338215504,10.362456290988051,10.333000450307484,10.396706301604942,200,5,10000
internal_test,missing_bod_nh3n,indicator_reconstruction,indicator_reconstruction_missing_bod_nh3n,lr,rmse,12.772177863166542,12.773104752434117,12.732674301859412,12.811681424473672,200,5,10000
internal_test,missing_bod_nh3n,indicator_reconstruction,indicator_reconstruction_missing_bod_nh3n,lr,nmae,0.1188916605486889,0.1189134286383425,0.1172028008981916,0.1203752813460489,200,5,10000
internal_test,missing_bod_nh3n,indicator_reconstruction,indicator_reconstruction_missing_bod_nh3n,lr,accuracy,0.442,0.4419164,0.43924,0.4441840000000001,200,5,10000
internal_test,missing_bod_nh3n,indicator_reconstruction,indicator_reconstruction_missing_bod_nh3n,lr,macro_f1,0.373139709688499,0.3730915839062834,0.3710339199144426,0.3751600297488919,200,5,10000
internal_test,missing_bod_nh3n,indicator_reconstruction,indicator_reconstruction_missing_bod_nh3n,mpr,r2,0.7286916264876812,0.7287143260487347,0.7280821770357592,0.7294011452344208,200,5,10000
internal_test,missing_bod_nh3n,indicator_reconstruction,indicator_reconstruction_missing_bod_nh3n,mpr,mae,8.506142984100034,8.50481231150902,8.470160881769536,8.526368657540612,200,5,10000
internal_test,missing_bod_nh3n,indicator_reconstruction,indicator_reconstruction_missing_bod_nh3n,mpr,rmse,10.4930002506612,10.492092414867752,10.46447957732232,10.514064404108284,200,5,10000
internal_test,missing_bod_nh3n,indicator_reconstruction,indicator_reconstruction_missing_bod_nh3n,mpr,nmae,0.0975898420303419,0.0976086108182518,0.0961443222404655,0.0989084029989537,200,5,10000
