dataset_size,dataset,fold,model_type,split,n_samples,r2,mae,rmse,nmae,accuracy,macro_f1,training_s,prediction_s
10000,dataV1_10000,3,rf,test,2000,0.9962789636861537,0.7389014166666683,1.1780635268804929,0.0087114055254264,0.9575,0.7858543790813394,2.905001498758793,0.1523559857159853
10000,dataV1_10000,3,xgboost,train,8000,0.999738043372832,0.2225425100708007,0.312801472149017,0.0025340754961375,0.989875,0.9896519488531144,1.8358010612428188,0.103962056338787
10000,dataV1_10000,3,xgboost,test,2000,0.9990698354498128,0.3892391385650634,0.5890018354492069,0.0045890018694301,0.9765,0.9233899280594168,1.8358010612428188,0.0728451013565063
10000,dataV1_10000,3,lightgbm,train,8000,0.9995361804708236,0.2818854385537637,0.4162254281097735,0.0032098091386217,0.985625,0.9569399926209282,22.347413962706923,0.0503382254391908
10000,dataV1_10000,3,lightgbm,test,2000,0.9988394288023438,0.4169172640061792,0.6579193359755461,0.0049153178967953,0.9775,0.9166605263716888,22.347413962706923,0.0144896283745765
10000,dataV1_10000,4,lr,train,8000,0.7981664257009372,6.740420917086613,8.6849438780468,0.0767526863708336,0.621875,0.5306483203386111,0.0229668635874986,0.0054358653724193
10000,dataV1_10000,4,lr,test,2000,0.7719911975020741,6.889771586248797,9.211841008729063,0.0828197089343526,0.6205,0.5049908556620782,0.0229668635874986,0.0034652240574359
10000,dataV1_10000,4,mpr,train,8000,0.8986146726166696,4.933589313864984,6.155422457711738,0.0561784253457638,0.746375,0.6090005872496377,0.0163598600775003,0.0270986277610063
10000,dataV1_10000,4,mpr,test,2000,0.832151310677937,5.1473490920236245,7.90368465070044,0.0618746134393992,0.7395,0.6049376450235974,0.0163598600775003,0.0091258399188518
10000,dataV1_10000,4,svm,train,8000,0.986388815482456,1.6691878324318632,2.2553724520156844,0.0190069213440203,0.91125,0.7865481363976238,4.819673381745815,3.2535933200269938
10000,dataV1_10000,4,svm,test,2000,0.9840533101353844,1.7872014554305955,2.4361605202292647,0.0214833688596056,0.896,0.7116629738436347,4.819673381745815,0.7831928730010986
10000,dataV1_10000,4,rf,train,8000,0.9994408748146124,0.2773769916666683,0.4571143323396008,0.0031584717793972,0.98325,0.9820246363529124,1.918778268620372,0.1267458312213421
10000,dataV1_10000,4,rf,test,2000,0.9961543814070486,0.7226161500000012,1.1963375415160045,0.0086863342949873,0.963,0.7861244173963687,1.918778268620372,0.1039349921047687
10000,dataV1_10000,4,xgboost,train,8000,0.9997295626467856,0.2250747865676879,0.3179096047970129,0.0025629103457946,0.98675,0.9878698980937308,15.070087160915136,0.0909990929067134
