DO,BOD,NH3N,EC,SS,Score
58.2,4.6,4.46,740,94.8,39.2
60,5.6,3.04,698,329,38.34
47.6,15.2,22.1,2330,189,23.34
64.6,4.5,5.74,840,55.4,41.13
68.4,7.7,2.56,17100,150,40.24
107.2,4.4,0.48,617,10,76.02
83.8,9.3,1.91,731,56.4,52.19
68.9,5.2,3.65,850,94.8,45.46
37,9.1,3.76,669,28,30.73
55.5,3.9,8.07,1240,39.9,41.5
36.6,2.2,9.66,1210,27.8,40.04
50.2,2.5,6.38,1230,35,44.04
45.8,3,2.53,2370,27.6,44.3
76.2,1.8,0.27,539,25.6,74.44
78.2,1.2,0.56,34600,45.1,70.26
104.1,0.6,0.01,536,2.4,96
108,1.4,0.01,528,19.6,88.65
71.8,1.8,5.54,1340,12.5,63.48
62.6,2.6,3.24,1070,14.6,57.15
108.4,1.8,0.13,676,15.6,85.16
86.6,2.5,3.59,1120,52.2,61
91.9,2.1,0.52,19300,50.8,70.92
74.5,1.5,0.9,862,28.5,68.89
15.8,1.8,5.34,12400,31.3,36.72
62.2,0.6,2.31,34000,38.5,61.06
24.5,7.6,6.05,859,79,22.04
17.8,1.5,4.66,18500,33.5,38.89
62.8,2.1,1.6,585,83.8,53.46
98.6,1,0.05,524,275,79.1
110.4,0.3,0.01,804,2.5,96.12
107,0.4,0.01,556,20.3,92.53
103,0.1,0.06,667,29.6,88.35
144.2,4.7,1.42,1090,17,56.7
62.9,1.1,0.3,1120,94.1,64.83
79.4,0.5,0.1,16800,61.1,79.22
106.3,1.4,0.02,29800,21.6,88.05
107.4,0.8,0.01,627,20.3,91.1
127.5,0.5,0.46,1080,13.6,82.04
106,1.2,0.02,839,10.8,89.57
102.9,1.6,0.02,572,15.1,88.24
82.2,0.4,0.05,614,18,90.32
31.9,5.6,7.11,928,20.6,35.12
43.7,4.3,5.04,14700,15.4,40.91
21.3,2.5,2.51,39400,25,42.51
23.9,3.7,5.63,3230,11.4,35.7
47.4,6.2,5.74,17900,47.9,31.09
32.1,10.9,13,1270,10.8,30.54
49.4,5.9,17.5,1500,9.6,44.89
26.1,2.4,15,1530,19.7,40.76
60.2,1.3,0.01,526,5.2,79.01
53.8,6.5,4.04,1000,14.7,44.19
6.6,12.9,23.3,7980,19.2,24.68
18.2,13,27.3,2380,41.3,17.69
72.1,1.3,1.67,1060,13.2,71
96.8,1.1,0.05,632,64.6,81.57
88.9,2.1,2.8,731,17.1,72.83
93.3,2.7,2.18,1220,44.4,63.24
97,1.7,1.22,646,43.7,69.32
103.2,0.8,0.01,504,1.6,95.38
100.6,0.5,0.01,571,6.8,96.61
94.2,0.7,0.01,510,3.4,95.96
112.6,0.7,0.02,579,28.5,85.73
96.2,1,0.01,476,3.5,94.9
104.4,0.9,0.06,524,21.2,90.35
112.6,0.4,0.02,503,12,91.49
88.6,0.3,0.06,680,1140,78.83
70.6,7.8,4.94,690,30.6,45.85
50.4,3.6,3.01,792,8,52.01
94.8,1.7,0.95,328,15.6,78.54
86.8,1.6,0.41,405,25.1,77.68
62.8,4.2,3.11,636,29.3,47.55
54.5,4.1,3.72,620,17.4,47.74
46.8,4.5,2.3,26600,8.9,49.02
80.6,7,2.11,346,18.1,61.18
98.3,0.9,0.4,572,68,77.84
91.3,0.6,0.7,682,44,75.77
109.2,0.2,0.01,366,3.1,96.62
99.7,1.2,0.01,367,29.3,85.51
99.4,1.1,0.02,380,51.3,81.97
65.6,0.5,0.01,781,2.8,84.65
93.2,0.6,0.18,35000,23.6,89.26
97.7,1.4,0.01,444,3.3,93.29
96.4,1.9,0.01,860,7.7,91.15
101,0.9,0.04,410,932,77.62
98.1,1,0.01,180,4.2,94.91
105.4,0.8,0.04,248,16.8,90.91
103.2,0.4,0.03,210,15,92.66
101.8,0.2,0.03,186,1.3,97.17
94,0.6,0.07,204,7.4,95.42
101.8,0.5,0.05,128,3.3,95.96
100.9,0.6,0.04,130,8,95.82
102.9,0.6,0.03,123,5.6,95.83
82.2,1,0.14,172,6.6,90.73
70.3,1.8,0.34,206,10.2,74.27
58.8,0.2,0.44,312,22.5,72.96
99.1,0.3,0.08,139,3.6,96.3
96,0.6,0.05,316,61.2,83.43
94.2,0.2,0.07,374,81.5,84.34
92.2,1.6,0.05,398,72.4,79.3
96.4,0.2,0.03,400,8.1,97.34
52.2,1.5,1.15,184,22.4,60.48
50.2,1.3,0.82,716,24.4,61.8
98.8,0.8,0.03,116,2.6,95.35
48.6,0.7,0.67,9340,28.2,59.61
93.8,17.1,0.05,438,29.1,66.04
100.4,0.5,0.05,293,7.8,96.04
96,0.6,0.07,420,45,83.14
98.1,0.3,0.08,464,10,96.31
100.6,0.8,0.04,342,36.2,86.57
98.2,0.5,0.06,410,92,83.62
109,0.5,0.03,238,9.4,95.43
100.5,0.3,0.04,338,95,84.46
97.6,0.5,0.09,374,180,80.35
95.4,0.6,0.14,392,88.2,82.14
99.8,0.2,0.01,195,4.6,97.59
96.2,1.4,0.51,244,11,83.25
76.7,1.4,0.71,356,7,80.49
75.2,0.4,0.49,414,5.1,85.36
99.6,0.8,0.02,216,1,95.47
106.2,0.8,0.04,450,113,79.41
99.6,1,0.03,398,41.8,82.21
102.4,0.9,0.1,599,2.2,93.76
105.8,0.8,0.04,458,3,94.66
105,0.2,0.01,441,1.1,97.17
102.2,0.8,0.07,583,51.9,82.23
121,1,0.16,503,11.6,85.57
73,13.9,1.12,750,8.9,58.77
99.5,0.9,0.01,588,78.4,82.89
91,0.1,0.02,642,2.2,97.43
101,0.8,0.06,558,16.4,91
101.6,1.3,0.29,166,3.4,89.75
100.5,2.4,0.33,185,4.8,84.65
100.3,1.7,0.45,207,4.5,86.32
105.5,0.6,0.11,1330,2.4,94.38
103,0.3,0.02,288,2.4,96.93
104.8,0.9,0.03,282,3.6,94.55
49.5,1.1,1.87,14700,23.7,59.29
67.4,0.3,0.97,34300,12.8,71.87
111.3,2.4,0.08,243,11.3,82.84
28,5.4,0.45,535,10.2,45.46
24.2,3.6,0.56,498,31.2,41.09
104.5,2.5,0.4,441,6.6,83.11
89.8,1.9,0.03,162,1.8,90.39
39.5,12.5,0.49,321,5.6,46.9
103.9,1.2,0.17,114,1,91.5
26.9,2,1.37,235,13,48.82
21.6,3.8,1.84,236,15.2,39.93
14.6,4.5,1.9,280,8.7,40.93
96.4,1.1,0.06,102,6.9,93.79
92.8,0.1,0.09,104,2.2,96.6
82.3,1.5,0.73,176,4.4,82.4
91.3,1.5,0.38,209,2,87.72
80.3,4.6,0.64,245,3.6,71.95
108,1.1,0.12,195,2.6,92.09
106.4,1.9,0.14,148,4.9,88.68
91.4,1.4,0.39,221,1.4,88.04
100.4,2.6,0.02,133,4.6,87.96
103.4,1.5,0.03,147,4.3,92.28
113,0.9,0.19,93,4.5,91.09
103.6,0.8,0.11,109,2.4,93.9
11,3.9,3.32,537,21.8,35.58
36,2,2.61,1520,31.2,44.67
83.4,2,0.56,245,3.2,82.09
37.7,2.3,0.91,276,10,55.88
30.2,1.3,0.44,288,10,61.62
33.2,2.5,0.42,312,15.2,53.85
58,4,0.34,245,8.7,63.33
46,4.1,0.4,275,3.8,57.15
33.4,3.8,0.42,298,17,49.28
107.6,1.5,0.02,234,22.2,88.14
107.8,1.2,0.02,217,9,93.15
87,14.1,11.2,2560,8.8,58.18
80,11.3,7.86,1670,17.1,53.17
77.8,17,8,1320,21.7,50.54
95.7,11.5,5.75,800,18.4,56.48
80.4,13.7,3.7,1040,20.4,54.93
67.7,16.7,11.8,2780,10,47.56
95.3,14.5,6.11,1700,22.1,55.26
80.1,8.9,4.75,465,16.8,55.71
71.4,11.3,6.06,466,23.3,48.13
80.8,15.2,6.07,602,64.8,43.74
92.9,3.9,1.83,271,11.8,68.3
98.8,4.8,2.65,287,13.5,65.68
89.8,5.5,2.93,600,7.3,68.18
90.2,8.6,3.41,986,14.4,60.25
82.5,5.1,1.16,804,27.5,61.63
92.6,3.8,0.22,487,15.4,77.06
108.6,4.9,0.99,952,14.3,67.66
85,7,2.7,1970,25.4,56.91
94.2,1.2,0.08,283,2.2,93.03
77,9.9,9.28,872,10.2,52.44
91.6,9.8,8.27,950,34,52.08
104.3,1.7,0.13,599,9.9,89.9
53.4,26.3,7.04,1520,89.5,27.18
111.2,3.7,0.3,443,17.3,75.17
101.5,4.5,0.95,493,20.5,68.96
136.6,4.2,0.07,391,11.6,70.3
77.2,0.7,0.04,480,3.2,91.08
144.3,7.3,1.45,512,24.8,53.78
54.5,8,8.31,2970,10.7,40.93
95.5,5.5,7.58,2560,13.7,61.29
99.7,2.6,0.41,610,31.4,74.39
73.2,5.7,2.6,2260,23.4,58.06
90.7,5,1.26,492,18.3,67.66
102.8,3.1,0.1,383,12.3,80.87
78.6,6.9,1.94,394,10.9,60.7
56.9,9.2,8.69,5360,12.5,41.09
87.7,13.3,9.16,4250,14.8,54.72
98.2,2.3,1.44,26800,24.8,74.26
67.6,7,8.8,5570,10.3,48.13
74.5,1.4,0.14,368,7,85.36
99.9,7.4,0.24,363,7.6,76.18
104,2.1,0.23,482,6.2,86.88
85.2,1.9,1.03,29700,58,66.74
94.6,1.7,0.07,298,7.2,91.1
112.8,0.3,0.04,310,1.8,95.27
116.4,0.7,0.04,315,3.9,93.23
107.4,0.3,0.03,319,1.8,96.29
107.8,0.9,0.03,325,1.5,94.18
123.8,0.6,0.03,363,9.4,91.97
107.9,0.1,0.03,229,2.2,96.79
87.6,5.5,0.93,534,58,59.15
73.3,41.3,0.13,727,58.6,52.43
118.2,0.4,0.06,370,8.1,93.56
103,0.6,0.06,384,6.3,95.37
95.4,0.7,0.1,400,4.7,94.7
68,0.3,0.78,3140,15.6,74.07
107.5,0.3,0.11,328,1.8,95.12
68.1,0.6,0.91,34400,16.2,71.59
56.4,1.4,0.79,8270,25.9,59.43
129.6,1.2,0.05,501,5.7,87.78
94.7,0.4,0.11,500,6.2,95.54
67.6,4.2,0.67,23500,5.6,63.74
71.2,4.9,0.44,28400,25.3,59.15
112.6,0,0.07,195,2.8,95.55
125.6,0,0.07,261,3.8,92.55
124.2,0.3,0.09,318,8,91.97
96.6,10.5,0.04,188,3.2,76.84
103.3,2.3,0.04,394,1.4,88.71
107.9,4.5,0.06,404,9.2,80.99
102,0.1,0.08,365,15.9,92.9
103.4,0.7,0.09,431,3.8,94.55
112,0.4,0.02,186,1,95.41
101.5,7.6,0.04,263,3.6,78.64
107.8,0.6,0.03,254,1.4,95.27
109.1,0.7,0.05,257,1.5,94.43
